coverage	n
2621	41
2622	36
2623	30
2624	25
2625	33
2626	32
2627	46
2628	36
2629	30
2630	31
2631	34
2632	30
2633	34
2634	33
2635	36
2636	39
2637	33
2638	35
2639	41
2640	32
2641	38
2642	41
2643	35
2644	41
2645	29
2646	38
2647	32
2648	40
2649	40
2650	36
2651	30
2652	43
2653	39
2654	43
2655	33
2656	28
2657	43
2658	35
2659	37
2660	36
2661	33
2662	36
2663	39
2664	34
2665	44
2666	44
2667	39
2668	27
2669	29
2670	39
2671	23
2672	33
2673	40
2674	32
2675	38
2676	37
2677	37
2678	32
2679	33
2680	40
2681	27
2682	25
2683	30
2684	35
2685	33
2686	26
2687	33
2688	37
2689	21
2690	40
2691	38
2692	37
2693	31
2694	26
2695	44
2696	38
2697	39
2698	40
2699	38
2700	32
2701	37
2702	35
2703	39
2704	46
2705	33
2706	35
2707	34
2708	42
2709	38
2710	28
2711	40
2712	43
2713	38
2714	32
2715	39
2716	27
2717	38
2718	29
2719	39
2720	44
2721	32
2722	39
2723	28
2724	30
2725	34
2726	32
2727	32
2728	39
2729	40
2730	43
2731	38
2732	34
2733	22
2734	34
2735	46
2736	40
2737	35
2738	39
2739	40
2740	39
2741	36
2742	31
2743	31
2744	25
2745	30
2746	54
2747	40
2748	34
2749	35
2750	32
2751	37
2752	31
2753	25
2754	37
2755	25
2756	40
2757	37
2758	32
2759	30
2760	26
2761	27
2762	41
2763	23
2764	30
2765	42
2766	31
2767	38
2768	38
2769	46
2770	29
2771	41
2772	28
2773	40
2774	36
2775	30
2776	24
2777	35
2778	35
2779	26
2780	30
2781	23
2782	43
2783	28
2784	29
2785	28
2786	29
2787	38
2788	40
2789	38
2790	26
2791	32
2792	27
2793	21
2794	42
2795	27
2796	30
2797	29
2798	26
2799	30
2800	26
2801	32
2802	23
2803	33
2804	25
2805	27
2806	27
2807	29
2808	23
2809	28
2810	21
2811	22
2812	36
2813	37
2814	31
2815	36
2816	23
2817	21
2818	24
2819	38
2820	30
2821	31
2822	16
2823	27
2824	33
2825	30
2826	26
2827	23
2828	21
2829	22
2830	28
2831	27
2832	36
2833	32
2834	26
2835	23
2836	30
